@relation mixed

@attribute at1 {TRUE,FALSE}
@attribute at2 {FALSE,TRUE}
@attribute at3 numeric
@attribute at4 numeric
@attribute C {FALSE,TRUE}

@data
FALSE,TRUE,0.294971,0.96804,FALSE
TRUE,FALSE,0.398835,0.117913,TRUE
FALSE,FALSE,0.132372,0.790346,FALSE
TRUE,TRUE,0.251066,0.922938,TRUE
FALSE,FALSE,0.493237,0.776332,FALSE
TRUE,TRUE,0.3594,0.81519,TRUE
FALSE,TRUE,0.56473,0.656301,FALSE
TRUE,TRUE,0.768351,0.502339,TRUE
FALSE,FALSE,0.261813,0.798804,FALSE
TRUE,FALSE,0.137344,0.435756,TRUE
FALSE,TRUE,0.562122,0.57625,FALSE
TRUE,TRUE,0.369569,0.129207,TRUE
FALSE,FALSE,0.822579,0.934277,FALSE
TRUE,TRUE,0.01671,0.88606,TRUE
FALSE,TRUE,0.660502,0.797132,FALSE
TRUE,FALSE,0.777317,0.460336,TRUE
FALSE,TRUE,0.272093,0.878622,FALSE
TRUE,FALSE,0.474709,0.123377,TRUE
TRUE,FALSE,0.275419,0.869852,FALSE
TRUE,FALSE,0.605794,0.213456,TRUE
TRUE,FALSE,0.984712,0.67848,FALSE
TRUE,FALSE,0.35759,0.063916,TRUE
TRUE,FALSE,0.687928,0.807871,FALSE
TRUE,TRUE,0.216477,0.977684,TRUE
FALSE,TRUE,0.173164,0.840329,FALSE
TRUE,TRUE,0.380176,0.765087,TRUE
FALSE,TRUE,0.797147,0.896369,FALSE
TRUE,TRUE,0.926577,0.789326,TRUE
TRUE,FALSE,0.359016,0.643009,FALSE
TRUE,TRUE,0.585192,0.73189,TRUE
FALSE,FALSE,0.719772,0.653815,FALSE
TRUE,TRUE,0.762294,0.818989,TRUE
FALSE,TRUE,0.816806,0.87235,FALSE
TRUE,TRUE,0.849022,0.693862,TRUE
FALSE,TRUE,0.589879,0.950835,FALSE
TRUE,FALSE,0.250663,0.144105,TRUE
FALSE,TRUE,0.125821,0.792056,FALSE
TRUE,TRUE,0.936367,0.284325,TRUE
FALSE,FALSE,0.526774,0.223674,FALSE
TRUE,TRUE,0.090617,0.902419,TRUE
FALSE,FALSE,0.248471,0.944681,FALSE
TRUE,TRUE,0.732687,0.42547,TRUE
FALSE,TRUE,0.651414,0.714606,FALSE
TRUE,TRUE,0.453732,0.277672,TRUE
TRUE,FALSE,0.527771,0.604377,FALSE
TRUE,TRUE,0.724308,0.395017,TRUE
FALSE,FALSE,0.245371,0.844477,FALSE
TRUE,FALSE,0.067505,0.232276,TRUE
TRUE,FALSE,0.667702,0.80523,FALSE
TRUE,TRUE,0.081309,0.442656,TRUE
FALSE,TRUE,0.191067,0.8293,FALSE
TRUE,TRUE,0.817614,0.917593,TRUE
TRUE,FALSE,0.739726,0.721027,FALSE
TRUE,TRUE,0.402655,0.861471,TRUE
FALSE,FALSE,0.302119,0.615296,FALSE
TRUE,TRUE,0.833802,0.822321,TRUE
TRUE,FALSE,0.897384,0.853673,FALSE
TRUE,TRUE,0.664436,0.190594,TRUE
TRUE,FALSE,0.560367,0.630062,FALSE
TRUE,TRUE,0.768354,0.226807,TRUE
FALSE,FALSE,0.269928,0.786895,FALSE
TRUE,TRUE,0.769747,0.657659,TRUE
FALSE,FALSE,0.129943,0.866535,FALSE
TRUE,TRUE,0.567294,0.78847,TRUE
TRUE,FALSE,0.971991,0.938448,FALSE
TRUE,FALSE,0.020074,0.484751,TRUE
FALSE,FALSE,0.722197,0.679276,FALSE
TRUE,FALSE,0.018317,0.021088,TRUE
FALSE,FALSE,0.940905,0.688719,FALSE
TRUE,FALSE,0.998613,0.394624,TRUE
TRUE,FALSE,0.497605,0.448122,FALSE
TRUE,FALSE,0.723513,0.314313,TRUE
FALSE,FALSE,0.954195,0.795506,FALSE
TRUE,TRUE,0.853827,0.93047,TRUE
TRUE,FALSE,0.066944,0.683811,FALSE
TRUE,FALSE,0.215551,0.55277,TRUE
TRUE,FALSE,0.239005,0.746794,FALSE
TRUE,TRUE,0.950083,0.337382,TRUE
FALSE,FALSE,0.1397,0.859907,FALSE
TRUE,TRUE,0.419445,0.035287,TRUE
FALSE,TRUE,0.855101,0.805185,FALSE
TRUE,TRUE,0.061971,0.416292,TRUE
FALSE,FALSE,0.726562,0.904006,FALSE
TRUE,TRUE,0.508137,0.008166,TRUE
FALSE,FALSE,0.029673,0.589348,FALSE
TRUE,TRUE,0.406989,0.005319,TRUE
FALSE,FALSE,0.393144,0.537216,FALSE
TRUE,FALSE,0.559077,0.023156,TRUE
FALSE,FALSE,0.394831,0.650632,FALSE
TRUE,TRUE,0.423448,0.133182,TRUE
FALSE,TRUE,0.958195,0.790094,FALSE
TRUE,TRUE,0.216673,0.536039,TRUE
FALSE,TRUE,0.016116,0.683063,FALSE
TRUE,TRUE,0.242525,0.380258,TRUE
FALSE,FALSE,0.653739,0.953795,FALSE
TRUE,TRUE,0.723851,0.156438,TRUE
FALSE,FALSE,0.89276,0.990616,FALSE
TRUE,FALSE,0.618396,0.14321,TRUE
FALSE,TRUE,0.186375,0.805087,FALSE
TRUE,TRUE,0.953201,0.434824,TRUE
FALSE,TRUE,0.955048,0.751724,FALSE
TRUE,FALSE,0.198254,0.670683,TRUE
FALSE,TRUE,0.112136,0.780848,FALSE
TRUE,TRUE,0.13948,0.242678,TRUE
FALSE,FALSE,0.328167,0.942474,FALSE
TRUE,FALSE,0.445665,0.015629,TRUE
FALSE,FALSE,0.261001,0.936512,FALSE
TRUE,TRUE,0.641953,0.305929,TRUE
TRUE,FALSE,0.259338,0.894223,FALSE
TRUE,TRUE,0.071918,0.861203,TRUE
FALSE,TRUE,0.401622,0.608527,FALSE
TRUE,FALSE,0.23211,0.253262,TRUE
FALSE,FALSE,0.833341,0.864201,FALSE
TRUE,TRUE,0.157959,0.654833,TRUE
FALSE,FALSE,0.110178,0.827764,FALSE
TRUE,TRUE,0.812068,0.41356,TRUE
FALSE,FALSE,0.823632,0.952599,FALSE
TRUE,FALSE,0.151956,0.753799,TRUE
TRUE,FALSE,0.67313,0.729779,FALSE
TRUE,FALSE,0.89191,0.330002,TRUE
TRUE,FALSE,0.057712,0.73651,FALSE
TRUE,TRUE,0.157152,0.992038,TRUE
FALSE,TRUE,0.68474,0.963609,FALSE
TRUE,FALSE,0.645716,0.283326,TRUE
TRUE,FALSE,0.277024,0.692169,FALSE
TRUE,TRUE,0.448886,0.131174,TRUE
FALSE,TRUE,0.663801,0.588126,FALSE
TRUE,TRUE,0.541196,0.168515,TRUE
FALSE,TRUE,0.05768,0.954316,FALSE
TRUE,FALSE,0.209377,0.281743,TRUE
FALSE,FALSE,0.829087,0.843801,FALSE
TRUE,TRUE,0.138838,0.997146,TRUE
FALSE,TRUE,0.928929,0.784649,FALSE
TRUE,TRUE,0.252484,0.225829,TRUE
TRUE,FALSE,0.675005,0.894788,FALSE
TRUE,TRUE,0.986024,0.684558,TRUE
TRUE,FALSE,0.034672,0.790772,FALSE
TRUE,FALSE,0.400416,0.11957,TRUE
TRUE,FALSE,0.330735,0.863346,FALSE
TRUE,TRUE,0.243625,0.862828,TRUE
FALSE,TRUE,0.650781,0.906128,FALSE
TRUE,FALSE,0.545958,0.058978,TRUE
FALSE,TRUE,0.471702,0.724748,FALSE
TRUE,TRUE,0.153542,0.49714,TRUE
FALSE,TRUE,0.954061,0.867451,FALSE
TRUE,FALSE,0.698667,0.418989,TRUE
FALSE,TRUE,0.375538,0.494167,FALSE
TRUE,TRUE,0.872122,0.801401,TRUE
FALSE,TRUE,0.241873,0.941834,FALSE
TRUE,TRUE,0.875333,0.974056,TRUE
TRUE,FALSE,0.616122,0.677979,FALSE
TRUE,TRUE,0.894274,0.957358,TRUE
TRUE,FALSE,0.030403,0.676817,FALSE
TRUE,TRUE,0.361638,0.213179,TRUE
TRUE,FALSE,0.913942,0.905221,FALSE
TRUE,TRUE,0.378603,0.086346,TRUE
FALSE,TRUE,0.51705,0.802748,FALSE
TRUE,TRUE,0.977968,0.698053,TRUE
TRUE,FALSE,0.83391,0.959429,FALSE
TRUE,TRUE,0.18749,0.025734,TRUE
FALSE,FALSE,0.610099,0.537173,FALSE
TRUE,TRUE,0.857346,0.242697,TRUE
FALSE,FALSE,0.67999,0.859468,FALSE
TRUE,TRUE,0.219373,0.986535,TRUE
TRUE,FALSE,0.531054,0.646805,FALSE
TRUE,FALSE,0.247854,0.697109,TRUE
FALSE,TRUE,0.806467,0.971623,FALSE
TRUE,TRUE,0.902355,0.95818,TRUE
FALSE,FALSE,0.261409,0.70123,FALSE
TRUE,TRUE,0.561076,0.379664,TRUE
FALSE,FALSE,0.492517,0.909066,FALSE
TRUE,FALSE,0.03315,0.532382,TRUE
TRUE,FALSE,0.282056,0.71515,FALSE
TRUE,FALSE,0.881726,0.194778,TRUE
FALSE,TRUE,0.515102,0.277586,FALSE
TRUE,TRUE,0.610076,0.598176,TRUE
FALSE,TRUE,0.477867,0.336241,FALSE
TRUE,TRUE,0.175288,0.318781,TRUE
FALSE,FALSE,0.885144,0.952655,FALSE
TRUE,FALSE,0.399829,0.309021,TRUE
FALSE,TRUE,0.325743,0.848225,FALSE
TRUE,TRUE,0.002149,0.864813,TRUE
FALSE,TRUE,0.517336,0.328473,FALSE
TRUE,TRUE,0.603407,0.857907,TRUE
FALSE,FALSE,0.63723,0.6422,FALSE
TRUE,TRUE,0.101812,0.859069,TRUE
TRUE,FALSE,0.476127,0.99525,FALSE
TRUE,FALSE,0.052526,0.314008,TRUE
TRUE,FALSE,0.540605,0.245365,FALSE
TRUE,TRUE,0.567272,0.804344,TRUE
FALSE,TRUE,0.321515,0.61124,FALSE
TRUE,FALSE,0.779646,0.611457,TRUE
TRUE,FALSE,0.760903,0.805875,FALSE
TRUE,FALSE,0.75571,0.287313,TRUE
FALSE,FALSE,0.039529,0.856572,FALSE
TRUE,TRUE,0.615601,0.095305,TRUE
TRUE,FALSE,0.931806,0.865882,FALSE
TRUE,TRUE,0.952439,0.344806,TRUE
FALSE,TRUE,0.259245,0.930448,FALSE
TRUE,TRUE,0.370433,0.123982,TRUE
TRUE,FALSE,0.174706,0.800598,FALSE
TRUE,FALSE,0.152724,0.615849,TRUE
FALSE,TRUE,0.651364,0.542264,FALSE
TRUE,FALSE,0.882019,0.29913,TRUE
TRUE,FALSE,0.417737,0.494117,FALSE
TRUE,TRUE,0.826162,0.577262,TRUE
FALSE,FALSE,0.246561,0.900857,FALSE
TRUE,TRUE,0.122704,0.588639,TRUE
FALSE,FALSE,0.701147,0.660493,FALSE
TRUE,FALSE,0.37057,0.181411,TRUE
FALSE,TRUE,0.824827,0.837285,FALSE
TRUE,TRUE,0.1926,0.923598,TRUE
TRUE,FALSE,0.252516,0.849816,FALSE
TRUE,TRUE,0.21254,0.961981,TRUE
FALSE,FALSE,0.567843,0.621037,FALSE
TRUE,FALSE,0.105565,0.339974,TRUE
FALSE,FALSE,0.301681,0.956351,FALSE
TRUE,FALSE,0.728374,0.55071,TRUE
FALSE,TRUE,0.372367,0.409583,FALSE
TRUE,TRUE,0.202012,0.416108,TRUE
TRUE,FALSE,0.149454,0.901911,FALSE
TRUE,TRUE,0.546382,0.918561,TRUE
FALSE,FALSE,0.051272,0.935926,FALSE
TRUE,FALSE,0.775898,0.711397,TRUE
FALSE,FALSE,0.793492,0.919906,FALSE
TRUE,FALSE,0.843883,0.416607,TRUE
TRUE,FALSE,0.371401,0.556836,FALSE
TRUE,TRUE,0.680555,0.783007,TRUE
TRUE,FALSE,0.097446,0.805461,FALSE
TRUE,TRUE,0.130679,0.922986,TRUE
FALSE,TRUE,0.379622,0.91404,FALSE
TRUE,TRUE,0.298138,0.657816,TRUE
FALSE,FALSE,0.556779,0.793529,FALSE
TRUE,TRUE,0.640097,0.786406,TRUE
TRUE,FALSE,0.090679,0.835272,FALSE
TRUE,FALSE,0.561003,0.035024,TRUE
FALSE,TRUE,0.398613,0.350237,FALSE
TRUE,TRUE,0.345419,0.734047,TRUE
FALSE,TRUE,0.633254,0.665842,FALSE
TRUE,TRUE,0.706383,0.409824,TRUE
FALSE,TRUE,0.946381,0.83324,FALSE
TRUE,TRUE,0.949552,0.938814,TRUE
FALSE,TRUE,0.883756,0.769852,FALSE
TRUE,TRUE,0.759725,0.194392,TRUE
FALSE,TRUE,0.337884,0.754282,FALSE
TRUE,TRUE,0.90143,0.820404,TRUE
TRUE,FALSE,0.686787,0.639799,FALSE
TRUE,TRUE,0.094271,0.867412,TRUE
FALSE,FALSE,0.233995,0.962181,FALSE
TRUE,TRUE,0.691409,0.877834,TRUE
FALSE,FALSE,0.886198,0.857808,FALSE
TRUE,TRUE,0.36176,0.335457,TRUE
FALSE,TRUE,0.922163,0.955935,FALSE
TRUE,TRUE,0.146159,0.95454,TRUE
FALSE,TRUE,0.00293,0.629045,FALSE
TRUE,TRUE,0.650022,0.799032,TRUE
FALSE,FALSE,0.023209,0.741288,FALSE
TRUE,TRUE,0.553604,0.190787,TRUE
TRUE,FALSE,0.917649,0.913583,FALSE
TRUE,FALSE,0.714246,0.133336,TRUE
FALSE,FALSE,0.058069,0.838644,FALSE
TRUE,TRUE,0.400703,0.723763,TRUE
FALSE,FALSE,0.228683,0.943262,FALSE
TRUE,TRUE,0.510092,0.141938,TRUE
FALSE,FALSE,0.949692,0.855842,FALSE
TRUE,TRUE,0.163416,0.936505,TRUE
FALSE,TRUE,0.761248,0.849121,FALSE
TRUE,FALSE,0.677897,0.131782,TRUE
FALSE,FALSE,0.246307,0.756967,FALSE
TRUE,FALSE,0.575298,0.239721,TRUE
FALSE,TRUE,0.710598,0.774683,FALSE
TRUE,TRUE,0.821893,0.295,TRUE
FALSE,TRUE,0.840634,0.910339,FALSE
TRUE,TRUE,0.16307,0.792699,TRUE
TRUE,FALSE,0.843892,0.986331,FALSE
TRUE,TRUE,0.676841,0.889972,TRUE
FALSE,TRUE,0.994525,0.837706,FALSE
TRUE,FALSE,0.112596,0.071009,TRUE
FALSE,FALSE,0.296445,0.993718,FALSE
TRUE,TRUE,0.0111,0.174465,TRUE
TRUE,FALSE,0.091804,0.942902,FALSE
TRUE,TRUE,0.108324,0.058232,TRUE
TRUE,FALSE,0.186163,0.841176,FALSE
TRUE,TRUE,0.400032,0.526179,TRUE
FALSE,FALSE,0.624903,0.52005,FALSE
TRUE,TRUE,0.209525,0.776587,TRUE
FALSE,FALSE,0.5421,0.580416,FALSE
TRUE,FALSE,0.777503,0.564842,TRUE
FALSE,FALSE,0.779067,0.782452,FALSE
TRUE,TRUE,0.887457,0.715814,TRUE
FALSE,FALSE,0.002156,0.787905,FALSE
TRUE,TRUE,0.305373,0.384049,TRUE
TRUE,FALSE,0.360169,0.488746,FALSE
TRUE,FALSE,0.080968,0.379215,TRUE
FALSE,FALSE,0.112131,0.951571,FALSE
TRUE,TRUE,0.341089,0.363809,TRUE
FALSE,FALSE,0.794926,0.898601,FALSE
TRUE,TRUE,0.713773,0.520928,TRUE
TRUE,FALSE,0.233768,0.931761,FALSE
TRUE,FALSE,0.789347,0.617649,TRUE
FALSE,FALSE,0.562138,0.525353,FALSE
TRUE,FALSE,0.00423,0.057029,TRUE
FALSE,FALSE,0.907299,0.827325,FALSE
TRUE,TRUE,0.875482,0.397273,TRUE
TRUE,FALSE,0.26162,0.800227,FALSE
TRUE,TRUE,0.31795,0.648691,TRUE
FALSE,FALSE,0.804396,0.995738,FALSE
TRUE,TRUE,0.094265,0.407222,TRUE
FALSE,FALSE,0.494277,0.774178,FALSE
TRUE,FALSE,0.745246,0.152532,TRUE
TRUE,FALSE,0.733412,0.786111,FALSE
TRUE,FALSE,0.115646,0.208936,TRUE
FALSE,TRUE,0.077193,0.762555,FALSE
TRUE,TRUE,0.475118,0.09757,TRUE
FALSE,TRUE,0.047411,0.676923,FALSE
TRUE,TRUE,0.826868,0.287625,TRUE
FALSE,TRUE,0.680872,0.582591,FALSE
TRUE,FALSE,0.772395,0.717662,TRUE
FALSE,TRUE,0.501897,0.602983,FALSE
TRUE,TRUE,0.748091,0.955422,TRUE
TRUE,FALSE,0.806931,0.979394,FALSE
TRUE,TRUE,0.579769,0.155427,TRUE
FALSE,TRUE,0.854057,0.875958,FALSE
TRUE,FALSE,0.317962,0.067847,TRUE
FALSE,TRUE,0.175767,0.97528,FALSE
TRUE,TRUE,0.314687,0.502234,TRUE
FALSE,TRUE,0.57678,0.799538,FALSE
TRUE,FALSE,0.616852,0.357654,TRUE
FALSE,FALSE,0.136507,0.975358,FALSE
TRUE,TRUE,0.732557,0.055179,TRUE
FALSE,TRUE,0.613494,0.940653,FALSE
TRUE,FALSE,0.396498,0.316821,TRUE
FALSE,FALSE,0.769529,0.938317,FALSE
TRUE,TRUE,0.047379,0.779351,TRUE
TRUE,FALSE,0.727849,0.967205,FALSE
TRUE,TRUE,0.738711,0.135628,TRUE
TRUE,FALSE,0.231228,0.842983,FALSE
TRUE,TRUE,0.380233,0.718293,TRUE
TRUE,FALSE,0.017881,0.851019,FALSE
TRUE,TRUE,0.715077,0.205087,TRUE
FALSE,TRUE,0.270326,0.684652,FALSE
TRUE,FALSE,0.540768,0.117812,TRUE
FALSE,FALSE,0.722853,0.766514,FALSE
TRUE,TRUE,0.487466,0.846539,TRUE
TRUE,FALSE,0.341685,0.80213,FALSE
TRUE,TRUE,0.418065,0.767641,TRUE
TRUE,FALSE,0.949238,0.993078,FALSE
TRUE,TRUE,0.151078,0.881287,TRUE
TRUE,FALSE,0.481384,0.679104,FALSE
TRUE,TRUE,0.333333,0.624552,TRUE
TRUE,FALSE,0.33143,0.649512,FALSE
TRUE,TRUE,0.710285,0.235777,TRUE
FALSE,TRUE,0.816602,0.860408,FALSE
TRUE,FALSE,0.138388,0.647268,TRUE
TRUE,FALSE,0.356055,0.694434,FALSE
TRUE,FALSE,0.442911,0.230684,TRUE
FALSE,FALSE,0.924866,0.878314,FALSE
TRUE,TRUE,0.254724,0.604395,TRUE
FALSE,FALSE,0.444836,0.613148,FALSE
TRUE,TRUE,0.348541,0.169237,TRUE
FALSE,FALSE,0.347619,0.858523,FALSE
TRUE,TRUE,0.315049,0.483325,TRUE
FALSE,TRUE,0.335061,0.98349,FALSE
TRUE,TRUE,0.914267,0.989752,TRUE
TRUE,FALSE,0.021143,0.735567,FALSE
TRUE,TRUE,0.395296,0.462581,TRUE
FALSE,TRUE,0.398845,0.935572,FALSE
TRUE,FALSE,0.112073,0.66327,TRUE
TRUE,FALSE,0.934342,0.876037,FALSE
TRUE,TRUE,0.18919,0.793419,TRUE
FALSE,TRUE,0.583455,0.581692,FALSE
TRUE,FALSE,0.648449,0.091129,TRUE
FALSE,TRUE,0.540085,0.23595,FALSE
TRUE,TRUE,0.484888,0.106532,TRUE
FALSE,TRUE,0.771039,0.788658,FALSE
TRUE,TRUE,0.297695,0.497023,TRUE
FALSE,TRUE,0.622144,0.596136,FALSE
TRUE,TRUE,0.990997,0.72852,TRUE
TRUE,FALSE,0.64028,0.950692,FALSE
TRUE,TRUE,0.904073,0.953063,TRUE
FALSE,FALSE,0.045016,0.939292,FALSE
TRUE,FALSE,0.676255,0.324963,TRUE
FALSE,FALSE,0.435582,0.770245,FALSE
TRUE,FALSE,0.398365,0.294078,TRUE
TRUE,FALSE,0.420044,0.423362,FALSE
TRUE,FALSE,0.417791,0.151065,TRUE
TRUE,FALSE,0.74749,0.725335,FALSE
TRUE,FALSE,0.935244,0.412394,TRUE
FALSE,FALSE,0.870868,0.995971,FALSE
TRUE,TRUE,0.704619,0.509589,TRUE
FALSE,TRUE,0.728165,0.918971,FALSE
TRUE,FALSE,0.562595,0.093734,TRUE
TRUE,FALSE,0.97187,0.907844,FALSE
TRUE,FALSE,0.599218,0.118069,TRUE
FALSE,FALSE,0.423885,0.467505,FALSE
TRUE,TRUE,0.233357,0.851115,TRUE
TRUE,FALSE,0.34012,0.670149,FALSE
TRUE,TRUE,0.474321,0.148693,TRUE
FALSE,TRUE,0.128779,0.87158,FALSE
TRUE,FALSE,0.754806,0.428018,TRUE
FALSE,FALSE,0.870623,0.937569,FALSE
TRUE,TRUE,0.178782,0.038975,TRUE
TRUE,FALSE,0.940578,0.887025,FALSE
TRUE,TRUE,0.666192,0.307274,TRUE
TRUE,FALSE,0.888432,0.97228,FALSE
TRUE,TRUE,0.092437,0.763719,TRUE
FALSE,FALSE,0.135456,0.990424,FALSE
TRUE,TRUE,0.786679,0.333307,TRUE
TRUE,FALSE,0.664984,0.955043,FALSE
TRUE,FALSE,0.103928,0.284639,TRUE
FALSE,TRUE,0.771288,0.840007,FALSE
TRUE,FALSE,0.75887,0.721779,TRUE
TRUE,FALSE,0.76605,0.989458,FALSE
TRUE,TRUE,0.197002,0.332072,TRUE
FALSE,FALSE,0.312708,0.761157,FALSE
TRUE,FALSE,0.489277,0.100971,TRUE
TRUE,FALSE,0.905088,0.832773,FALSE
TRUE,FALSE,0.752297,0.009357,TRUE
TRUE,FALSE,0.169004,0.875409,FALSE
TRUE,TRUE,0.921869,0.311558,TRUE
FALSE,TRUE,0.029751,0.906174,FALSE
TRUE,TRUE,0.726038,0.484181,TRUE
FALSE,TRUE,0.225219,0.819115,FALSE
TRUE,FALSE,0.41948,0.154156,TRUE
FALSE,FALSE,0.184581,0.824148,FALSE
TRUE,TRUE,0.001632,0.950041,TRUE
FALSE,FALSE,0.2989,0.732088,FALSE
TRUE,FALSE,0.560484,0.184174,TRUE
FALSE,FALSE,0.279775,0.851031,FALSE
TRUE,TRUE,0.62951,0.447671,TRUE
FALSE,TRUE,0.124866,0.886469,FALSE
TRUE,TRUE,0.685889,0.049996,TRUE
FALSE,TRUE,0.701945,0.951374,FALSE
TRUE,TRUE,0.368631,0.211809,TRUE
FALSE,TRUE,0.500852,0.854359,FALSE
TRUE,FALSE,0.855929,0.178713,TRUE
TRUE,FALSE,0.331388,0.559016,FALSE
TRUE,TRUE,0.465532,0.016891,TRUE
FALSE,FALSE,0.600725,0.865234,FALSE
TRUE,TRUE,0.039495,0.525822,TRUE
TRUE,FALSE,0.684019,0.783695,FALSE
TRUE,FALSE,0.119365,0.668545,TRUE
TRUE,FALSE,0.728932,0.861201,FALSE
TRUE,TRUE,0.499393,0.840808,TRUE
FALSE,FALSE,0.158408,0.9865,FALSE
TRUE,FALSE,0.196207,0.124419,TRUE
FALSE,TRUE,0.688942,0.894925,FALSE
TRUE,FALSE,0.863408,0.074767,TRUE
FALSE,TRUE,0.128585,0.922662,FALSE
TRUE,TRUE,0.729664,0.524017,TRUE
TRUE,FALSE,0.623938,0.483006,FALSE
TRUE,FALSE,0.157195,0.159151,TRUE
FALSE,TRUE,0.271801,0.930074,FALSE
TRUE,TRUE,0.860217,0.987364,TRUE
FALSE,FALSE,0.640874,0.488674,FALSE
TRUE,FALSE,0.068356,0.5734,TRUE
FALSE,FALSE,0.041815,0.61755,FALSE
TRUE,TRUE,0.46048,0.76426,TRUE
FALSE,FALSE,0.574075,0.576979,FALSE
TRUE,FALSE,0.34621,0.35417,TRUE
FALSE,TRUE,0.179917,0.921536,FALSE
TRUE,TRUE,0.199201,0.370162,TRUE
FALSE,TRUE,0.312261,0.707672,FALSE
TRUE,FALSE,0.449541,0.043042,TRUE
FALSE,FALSE,0.616749,0.432789,FALSE
TRUE,FALSE,0.375281,0.056493,TRUE
FALSE,FALSE,0.881918,0.954589,FALSE
TRUE,TRUE,0.463125,0.205731,TRUE
TRUE,FALSE,0.209451,0.838645,FALSE
TRUE,FALSE,0.519801,0.161618,TRUE
FALSE,FALSE,0.45375,0.425387,FALSE
TRUE,TRUE,0.295495,0.693716,TRUE
TRUE,FALSE,0.430095,0.957538,FALSE
TRUE,TRUE,0.277475,0.452281,TRUE
FALSE,FALSE,0.773502,0.899289,FALSE
TRUE,TRUE,0.20312,0.896927,TRUE
FALSE,FALSE,0.30543,0.683498,FALSE
TRUE,FALSE,0.251312,0.178173,TRUE
FALSE,FALSE,0.289276,0.724542,FALSE
TRUE,FALSE,0.561898,0.131933,TRUE
TRUE,FALSE,0.049911,0.772059,FALSE
TRUE,FALSE,0.998735,0.473073,TRUE
FALSE,FALSE,0.095955,0.893297,FALSE
TRUE,FALSE,0.769874,0.054446,TRUE
FALSE,TRUE,0.733412,0.968805,FALSE
TRUE,TRUE,0.824758,0.874281,TRUE
TRUE,FALSE,0.601374,0.426799,FALSE
TRUE,FALSE,0.214918,0.762746,TRUE
FALSE,FALSE,0.309994,0.978432,FALSE
TRUE,TRUE,0.008544,0.460671,TRUE
FALSE,FALSE,0.906719,0.995582,FALSE
TRUE,TRUE,0.971479,0.690722,TRUE
TRUE,FALSE,0.986306,0.922806,FALSE
TRUE,TRUE,0.275629,0.410383,TRUE
FALSE,TRUE,0.029648,0.608318,FALSE
TRUE,TRUE,0.474365,0.374189,TRUE
TRUE,FALSE,0.498023,0.980567,FALSE
TRUE,TRUE,0.103169,0.828123,TRUE
TRUE,FALSE,0.208171,0.886817,FALSE
TRUE,FALSE,0.954964,0.232334,TRUE
FALSE,TRUE,0.598094,0.905809,FALSE
TRUE,FALSE,0.451248,0.099901,TRUE
TRUE,FALSE,0.442017,0.361082,FALSE
TRUE,FALSE,0.734642,0.418822,TRUE
TRUE,FALSE,0.834579,0.925973,FALSE
TRUE,TRUE,0.607959,0.167178,TRUE
