@relation whatever-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute l1.c numeric
@attribute l1.d numeric
@attribute l1.e numeric
@attribute l1.f numeric
@attribute l1.g numeric
@attribute c {0,1}

@data
0.054642,0.449866,0,0,0.414912,1
0.054642,0.44823,0,0,0.414912,1
0.054642,0.429485,0,0,0.414912,1
0.051489,0.399286,0,0,0.414912,1
0.041041,0.331449,0,0,0.414912,0
0.041041,0.271794,0,0,0.414912,0
0.041041,0.228206,0,0,0.414912,0
0.041041,0.183576,0,0,0.414912,0
0.041041,0.162452,0,0,0.414912,0
0.046956,0.151592,0,0,0.414912,1
0.046956,0.147724,0,0,0.414912,1
0.046956,0.174353,0,0,0.414912,1
0.047106,0.2169,0,0,0.414912,1
0.049868,0.307349,0,0,0.414912,1
0.047106,0.403451,0,0,0.414912,1
0.046956,0.407766,0,0,0.414912,1
0.041161,0.465486,0,0,0.414912,0
0.040711,0.490777,0,0,0.414912,0
0.041161,0.493603,0,0,0.414912,0
0.045515,0.519786,0,0,0.414912,1
0.046956,0.531836,0,0,0.414912,1
0.046956,0.520976,0,0,0.414912,1
0.047106,0.490925,0,0,0.414912,1
0.047106,0.49762,0,0,0.414912,1
0.047106,0.490479,0,0,0.414912,1
0.047106,0.482892,0,0,0.414912,1
0.047436,0.475751,0,0,0.414912,1
0.047436,0.474412,0,0,0.414912,1
0.047106,0.466825,0,0,0.414912,1
0.047106,0.458792,0,0,0.414912,1
0.047106,0.446742,0,0,0.414912,1
0.046956,0.439601,0,0,0.414912,1
0.046956,0.442428,0,0,0.414912,1
0.042482,0.450461,0,0,0.414912,0
0.042482,0.468015,0,0,0.414912,0
0.046956,0.510562,0,0,0.414912,1
0.046956,0.592086,0,0,0.414912,1
0.046956,0.584796,0,0,0.414912,1
0.042482,0.558018,0,0,0.414912,0
0.040711,0.52053,0,0,0.414912,0
0.040711,0.493454,0,0,0.414912,0
0.042482,0.473817,0,0,0.414912,0
0.041882,0.453585,0,0,0.414912,0
0.046956,0.407468,0,0,0.414912,1
0.046956,0.371169,0,0,0.414912,1
0.056443,0.422345,0,0,0.414912,1
0.051699,0.442577,0,0,0.414912,1
0.075868,0.46385,0,0,0.414912,1
0.075267,0.462065,0,0,0.414912,1
0.075868,0.459833,0,0,0.414912,1
0.075868,0.434543,0,0,0.414912,1
0.074517,0.395567,0,0,0.414912,1
0.075267,0.327879,0,0,0.414912,1
0.075868,0.273282,0,0,0.414912,1
0.074517,0.232223,0,0,0.414912,1
0.073976,0.187295,0,0,0.414912,1
0.073976,0.164237,0,0,0.414912,1
0.076948,0.154418,0,0,0.414912,1
0.074367,0.159625,0,0,0.414912,1
0.074367,0.182981,0,0,0.414912,1
0.076948,0.226867,0,0,0.414912,1
0.077999,0.314192,0,0,0.414912,1
0.077039,0.401517,0,0,0.414912,1
0.089798,0.405832,0,0,0.414912,1
0.089798,0.457751,0,0,0.414912,1
0.089798,0.496727,0,0,0.414912,1
0.089798,0.500595,0,0,0.414912,1
0.149664,0.542101,0,0,0.414912,1
0.089798,0.550878,0,0,0.414912,1
0.089798,0.535257,0,0,0.414912,1
0.089798,0.516662,0,0,0.414912,1
0.047676,0.50476,0,0,0.414912,0
0.146902,0.495537,0,0,0.414912,1
0.193287,0.485272,0,0,0.414912,1
0.193287,0.482594,0,0,0.414912,1
0.194548,0.473371,0,0,0.414912,1
0.193287,0.468164,0,0,0.414912,1
0.139636,0.461619,0,0,0.414912,1
0.149664,0.456709,0,0,0.414912,1
0.089798,0.439453,0,0,0.414912,1
0.089798,0.438411,0,0,0.414912,1
0.06626,0.441684,0,0,0.414912,0
0.089798,0.458792,0,0,0.414912,1
0.089798,0.499554,0,0,0.414912,1
0.077039,0.54939,0,0,0.414912,0
0.047586,0.53377,0,0,0.414912,0
0.076948,0.505504,0,0,0.414912,0
0.076948,0.458346,0,0,0.414912,0
0.074036,0.429485,0,0,0.414912,0
0.047586,0.399137,0,0,0.414912,0
0.047586,0.376525,0,0,0.414912,0
0.072835,0.352127,0,0,0.414912,0
0.047586,0.309283,0,0,0.414912,0
0.072835,0.381434,0,0,0.414912,0
0.074367,0.408956,0,0,0.414912,0
0.093611,0.43856,0,0,0.414912,1
0.149664,0.435436,0,0,0.414912,1
0.076948,0.436924,0,0,0.414912,0
0.074336,0.407468,0,0,0.414912,0
0.077039,0.368343,0,0,0.414912,0
0.072835,0.304522,0,0,0.414912,0
0.071905,0.246355,0,0,0.414912,0
0.046956,0.196816,0,0,0.414912,0
0.046956,0.152633,0,0,0.414912,0
0.046806,0.127343,0,0,0.414912,0
0.046956,0.11083,0,0,0.414912,0
0.046956,0.101607,0,0,0.414912,0
0.046956,0.105326,0,0,0.414912,0
0.062417,0.120649,0,0,0.414912,0
0.062417,0.149807,0,0,0.414912,0
0.072145,0.176882,0,0,0.414912,0
0.047106,0.214073,0,0,0.414912,0
0.080581,0.286224,0,0,0.414912,0
0.072145,0.344243,0,0,0.414912,0
0.080581,0.385897,0,0,0.414912,0
0.080581,0.423535,0,0,0.414912,0
0.072745,0.428593,0,0,0.414912,0
0.047376,0.416989,0,0,0.414912,0
0.047256,0.403154,0,0,0.414912,0
0.072145,0.382624,0,0,0.414912,0
0.047256,0.371021,0,0,0.414912,0
0.072145,0.354508,0,0,0.414912,0
0.047256,0.337102,0,0,0.414912,0
0.047256,0.325796,0,0,0.414912,0
0.072145,0.313746,0,0,0.414912,0
0.047256,0.296489,0,0,0.414912,0
0.047256,0.287266,0,0,0.414912,0
0.072145,0.284588,0,0,0.414912,1
0.072745,0.287266,0,0,0.414912,1
0.080581,0.291431,0,0,0.414912,1
0.080581,0.318209,0,0,0.414912,1
0.072745,0.363136,0,0,0.414912,1
0.080581,0.44942,0,0,0.414912,1
0.072745,0.458048,0,0,0.414912,1
0.072145,0.428444,0,0,0.414912,1
0.047256,0.385302,0,0,0.414912,0
0.047256,0.351532,0,0,0.414912,0
0.047256,0.32535,0,0,0.414912,0
0.047256,0.309432,0,0,0.414912,0
0.047106,0.282059,0,0,0.414912,0
0.047106,0.259447,0,0,0.414912,0
0.072145,0.29753,0,0,0.414912,1
0.047106,0.31687,0,0,0.414912,0
0.047256,0.3374,0,0,0.414912,0
0.047256,0.316572,0,0,0.414912,0
0.047106,0.30244,0,0,0.414912,0
0.047106,0.259,0,0,0.414912,0
0.047106,0.234157,0,0,0.414912,0
0.047106,0.182089,0,0,0.414912,0
0.046956,0.140732,0,0,0.414912,0
0.062417,0.111425,0,0,0.414912,1
0.062417,0.087176,0,0,0.414912,1
0.062417,0.07349,0,0,0.414912,1
0.062417,0.058167,0,0,0.414912,1
0.062417,0.052812,0,0,0.414912,1
0.063889,0.064267,0,0,0.414912,1
0.062417,0.074383,0,0,0.414912,1
0.062417,0.090747,0,0,0.414912,1
0.046956,0.091937,0,0,0.414912,0
0.046956,0.127938,0,0,0.414912,0
0.047256,0.180452,0,0,0.414912,0
0.047256,0.230884,0,0,0.414912,0
0.047256,0.277298,0,0,0.414912,0
0.047376,0.327581,0,0,0.414912,0
0.047376,0.351235,0,0,0.414912,0
0.047256,0.355251,0,0,0.414912,0
0.047256,0.345582,0,0,0.414912,0
0.071694,0.337251,0,0,0.414912,1
0.054131,0.323416,0,0,0.414912,0
0.071694,0.308242,0,0,0.414912,1
0.069383,0.281018,0,0,0.414912,1
0.047256,0.263612,0,0,0.414912,0
0.047256,0.244868,0,0,0.414912,0
0.047256,0.235049,0,0,0.414912,0
0.047106,0.231479,0,0,0.414912,0
0.047256,0.23252,0,0,0.414912,0
0.047106,0.240405,0,0,0.414912,0
0.047256,0.240702,0,0,0.414912,0
0.047256,0.263761,0,0,0.414912,0
0.047286,0.311068,0,0,0.414912,0
0.047436,0.387682,0,0,0.414912,0
0.069383,0.403898,0,0,0.414912,1
0.047376,0.383071,0,0,0.414912,0
0.047256,0.366706,0,0,0.414912,0
0.047256,0.346772,0,0,0.414912,0
0.047256,0.328771,0,0,0.414912,0
0.047106,0.311068,0,0,0.414912,0
0.047106,0.280571,0,0,0.414912,0
0.047106,0.252455,0,0,0.414912,0
0.047106,0.287414,0,0,0.414912,0
0.047256,0.298869,0,0,0.414912,0
0.047256,0.316424,0,0,0.414912,0
0.047106,0.293663,0,0,0.414912,0
0.047106,0.282654,0,0,0.414912,0
0.047106,0.247694,0,0,0.414912,0
0.047106,0.233859,0,0,0.414912,0
0.046956,0.185808,0,0,0.414912,0
0.046956,0.154865,0,0,0.414912,0
0.046956,0.127789,0,0,0.414912,0
0.046956,0.112169,0,0,0.414912,0
0.046806,0.101309,0,0,0.414912,0
0.046806,0.10235,0,0,0.414912,0
0.046806,0.110533,0,0,0.414912,0
0.046806,0.143112,0,0,0.414912,0
0.047256,0.187742,0,0,0.414912,0
0.047256,0.27953,0,0,0.414912,0
0.047106,0.367599,0,0,0.414912,0
0.10475,0.375483,0,0,0.414912,1
0.10475,0.435882,0,0,0.414912,1
0.155878,0.465338,0,0,0.414912,1
0.153206,0.469652,0,0,0.414912,1
0.10475,0.512348,0,0,0.414912,1
0.10475,0.529753,0,0,0.414912,1
0.10475,0.519042,0,0,0.414912,1
0.074817,0.498959,0,0,0.414912,1
0.10475,0.495091,0,0,0.414912,1
0.10475,0.492711,0,0,0.414912,1
0.13105,0.488545,0,0,0.414912,1
0.10475,0.476346,0,0,0.414912,1
0.10475,0.478578,0,0,0.414912,1
0.13105,0.478429,0,0,0.414912,1
0.13105,0.473222,0,0,0.414912,1
0.13105,0.467718,0,0,0.414912,1
0.13105,0.457007,0,0,0.414912,1
0.13105,0.472925,0,0,0.414912,1
0.179596,0.489289,0,0,0.414912,1
0.179596,0.53734,0,0,0.414912,1
0.209229,0.591639,0,0,0.414912,1
0.194548,0.651592,0,0,0.414912,1
0.193287,0.629575,0,0,0.414912,1
0.179596,0.597292,0,0,0.414912,1
0.179596,0.558316,0,0,0.414912,1
0.13105,0.526034,0,0,0.414912,1
0.155878,0.497025,0,0,0.414912,1
0.10475,0.471883,0,0,0.414912,1
0.109283,0.427998,0,0,0.414912,1
0.10475,0.3795,0,0,0.414912,1
0.088327,0.425022,0,0,0.414912,0
0.088327,0.448825,0,0,0.414912,0
0.109283,0.468462,0,0,0.414912,1
0.077039,0.46385,0,0,0.414912,0
0.077039,0.459685,0,0,0.414912,0
0.088327,0.438857,0,0,0.414912,0
0.047256,0.409551,0,0,0.414912,0
0.047106,0.341416,0,0,0.414912,0
0.047106,0.279232,0,0,0.414912,0
0.046956,0.236686,0,0,0.414912,0
0.046956,0.193692,0,0,0.414912,0
0.062417,0.167361,0,0,0.414912,0
0.077999,0.157542,0,0,0.414912,0
0.077999,0.158137,0,0,0.414912,0
0.077999,0.186105,0,0,0.414912,0
0.083794,0.233115,0,0,0.414912,0
0.085415,0.323862,0,0,0.414912,0
0.162093,0.436626,0,0,0.414912,1
0.162093,0.447188,0,0,0.414912,1
0.179596,0.505802,0,0,0.414912,1
0.179596,0.528265,0,0,0.414912,1
0.179596,0.523654,0,0,0.414912,1
0.179596,0.558762,0,0,0.414912,1
0.179596,0.5723,0,0,0.414912,1
0.162093,0.553704,0,0,0.414912,1
0.10475,0.533621,0,0,0.414912,0
0.162093,0.516513,0,0,0.414912,1
0.143389,0.509223,0,0,0.414912,1
0.13105,0.497173,0,0,0.414912,1
0.143389,0.499851,0,0,0.414912,1
0.143389,0.502083,0,0,0.414912,1
0.143389,0.491372,0,0,0.414912,1
0.143389,0.479768,0,0,0.414912,1
0.13105,0.47471,0,0,0.414912,1
0.13105,0.468015,0,0,0.414912,1
0.13105,0.484826,0,0,0.414912,1
0.162093,0.498959,0,0,0.414912,1
0.179596,0.540762,0,0,0.414912,1
0.194548,0.612169,0,0,0.414912,1
0.194548,0.678667,0,0,0.414912,1
0.194548,0.665873,0,0,0.414912,1
0.188904,0.635228,0,0,0.414912,1
0.179596,0.585242,0,0,0.414912,1
0.179596,0.562035,0,0,0.414912,1
0.143389,0.535852,0,0,0.414912,1
0.121713,0.508033,0,0,0.414912,0
0.10475,0.463106,0,0,0.414912,0
0.10475,0.422047,0,0,0.414912,0
0.13105,0.458941,0,0,0.414912,1
0.121713,0.470098,0,0,0.414912,0
0.090759,0.488396,0,0,0.414912,0
0.121713,0.480661,0,0,0.414912,0
0.121713,0.486314,0,0,0.414912,0
0.121713,0.459387,0,0,0.414912,0
0.085415,0.431419,0,0,0.414912,0
0.083794,0.363582,0,0,0.414912,0
0.083794,0.311068,0,0,0.414912,0
0.080581,0.258554,0,0,0.414912,0
0.077999,0.217197,0,0,0.414912,0
0.077999,0.186998,0,0,0.414912,0
0.062417,0.175245,0,0,0.414912,0
0.062417,0.173312,0,0,0.414912,0
0.077999,0.202321,0,0,0.414912,0
0.077999,0.243529,0,0,0.414912,0
0.121713,0.345284,0,0,0.414912,0
0.140267,0.451503,0,0,0.414912,1
0.162093,0.461321,0,0,0.414912,1
0.193287,0.525588,0,0,0.414912,1
0.179596,0.544183,0,0,0.414912,1
0.162093,0.533323,0,0,0.414912,1
0.140267,0.563672,0,0,0.414912,1
0.119731,0.567986,0,0,0.414912,0
0.119731,0.551175,0,0,0.414912,0
0.119731,0.529902,0,0,0.414912,0
0.089798,0.518298,0,0,0.414912,0
0.119731,0.503422,0,0,0.414912,0
0.119731,0.492264,0,0,0.414912,0
0.089798,0.481702,0,0,0.414912,0
0.089798,0.472925,0,0,0.414912,0
0.089798,0.468908,0,0,0.414912,0
0.089798,0.456412,0,0,0.414912,0
0.089798,0.441238,0,0,0.414912,0
0.089798,0.43499,0,0,0.414912,0
0.045214,0.450164,0,0,0.414912,0
0.089798,0.463106,0,0,0.414912,0
0.119731,0.500149,0,0,0.414912,1
0.203525,0.570217,0,0,0.414912,1
0.203525,0.645492,0,0,0.414912,1
0.203525,0.632699,0,0,0.414912,1
0.193287,0.604582,0,0,0.414912,1
0.162093,0.565605,0,0,0.414912,1
0.140267,0.540315,0,0,0.414912,1
0.119731,0.519786,0,0,0.414912,1
0.119731,0.488694,0,0,0.414912,1
0.119731,0.44823,0,0,0.414912,1
0.119731,0.399732,0,0,0.414912,1
0.140267,0.448825,0,0,0.414912,1
0.13105,0.464296,0,0,0.414912,1
0.134622,0.487652,0,0,0.414912,1
0.121713,0.488545,0,0,0.414912,1
0.140267,0.49033,0,0,0.414912,1
0.121713,0.463999,0,0,0.414912,1
0.111024,0.428741,0,0,0.414912,0
0.090759,0.366855,0,0,0.414912,0
0.077999,0.307349,0,0,0.414912,0
0.077999,0.261232,0,0,0.414912,0
0.062417,0.215115,0,0,0.414912,0
0.077999,0.186254,0,0,0.414912,0
0.074877,0.170336,0,0,0.414912,0
0.074877,0.171526,0,0,0.414912,0
0.081122,0.199494,0,0,0.414912,0
0.081122,0.241595,0,0,0.414912,0
0.114057,0.338143,0,0,0.414912,0
0.13105,0.44332,0,0,0.414912,1
0.13105,0.45537,0,0,0.414912,1
0.149634,0.524695,0,0,0.414912,1
0.149634,0.543737,0,0,0.414912,1
0.13105,0.536894,0,0,0.414912,1
0.110724,0.57706,0,0,0.414912,0
0.110724,0.586581,0,0,0.414912,0
0.107752,0.571407,0,0,0.414912,0
0.107752,0.552812,0,0,0.414912,0
0.107752,0.537043,0,0,0.414912,0
0.074817,0.530646,0,0,0.414912,0
0.074817,0.523951,0,0,0.414912,0
0.074817,0.514579,0,0,0.414912,0
0.074817,0.500149,0,0,0.414912,0
0.107752,0.502678,0,0,0.414912,0
0.074817,0.495537,0,0,0.414912,0
0.074817,0.488545,0,0,0.414912,0
0.107752,0.48557,0,0,0.414912,0
0.107752,0.496578,0,0,0.414912,0
0.107752,0.517852,0,0,0.414912,0
0.121713,0.557126,0,0,0.414912,1
0.149664,0.616483,0,0,0.414912,1
0.149664,0.678667,0,0,0.414912,1
0.149664,0.670485,0,0,0.414912,1
0.149664,0.646534,0,0,0.414912,1
0.149664,0.608599,0,0,0.414912,1
0.134622,0.578697,0,0,0.414912,1
0.121713,0.560399,0,0,0.414912,1
0.110724,0.528265,0,0,0.414912,0
0.107752,0.475602,0,0,0.414912,0
0.107752,0.430527,0,0,0.414912,0
0.121713,0.477388,0,0,0.414912,1
0.13093,0.49033,0,0,0.414912,1
0.13093,0.500446,0,0,0.414912,1
0.13093,0.489586,0,0,0.414912,1
0.13093,0.485421,0,0,0.414912,1
0.121713,0.461619,0,0,0.414912,1
0.111024,0.433948,0,0,0.414912,1
0.090759,0.364177,0,0,0.414912,0
0.081122,0.308688,0,0,0.414912,0
0.081122,0.262571,0,0,0.414912,0
0.081122,0.217197,0,0,0.414912,0
0.081122,0.190866,0,0,0.414912,0
0.081122,0.176138,0,0,0.414912,0
0.081122,0.175245,0,0,0.414912,0
0.081122,0.203511,0,0,0.414912,0
0.121713,0.246504,0,0,0.414912,1
0.134622,0.339334,0,0,0.414912,1
0.14447,0.444511,0,0,0.414912,1
0.044134,0.459833,0,0,0.414912,0
0.07926,0.526778,0,0,0.414912,0
0.13105,0.546712,0,0,0.414912,1
0.13096,0.543886,0,0,0.414912,1
0.178095,0.576317,0,0,0.414912,1
0.168338,0.582565,0,0,0.414912,1
0.168338,0.564713,0,0,0.414912,1
0.149634,0.545076,0,0,0.414912,1
0.149634,0.530943,0,0,0.414912,1
0.149634,0.529009,0,0,0.414912,1
0.146391,0.519786,0,0,0.414912,1
0.13105,0.510562,0,0,0.414912,1
0.13093,0.492859,0,0,0.414912,1
0.13105,0.481851,0,0,0.414912,1
0.045214,0.469057,0,0,0.414912,0
0.13105,0.457751,0,0,0.414912,1
0.13105,0.451651,0,0,0.414912,1
0.149634,0.459982,0,0,0.414912,1
0.168338,0.472776,0,0,0.414912,1
0.168338,0.511009,0,0,0.414912,1
0.134622,0.567242,0,0,0.414912,1
0.092951,0.619756,0,0,0.414912,0
0.149634,0.592086,0,0,0.414912,1
0.13093,0.573341,0,0,0.414912,1
0.121713,0.528414,0,0,0.414912,0
0.045214,0.504017,0,0,0.414912,0
0.11874,0.480363,0,0,0.414912,0
0.076498,0.464743,0,0,0.414912,0
0.044134,0.423535,0,0,0.414912,0
0.076498,0.378608,0,0,0.414912,0
0.129248,0.43618,0,0,0.414912,1
0.090759,0.464445,0,0,0.414912,0
0.13093,0.489735,0,0,0.414912,1
0.121713,0.484231,0,0,0.414912,1
0.076498,0.478727,0,0,0.414912,0
0.044224,0.447337,0,0,0.414912,0
0.044073,0.412824,0,0,0.414912,0
0.045214,0.339929,0,0,0.414912,0
0.044104,0.280571,0,0,0.414912,0
0.045214,0.227611,0,0,0.414912,0
0.074877,0.185808,0,0,0.414912,0
0.074877,0.153377,0,0,0.414912,0
0.044104,0.132996,0,0,0.414912,0
0.067311,0.123326,0,0,0.414912,0
0.068302,0.126897,0,0,0.414912,0
0.068302,0.141922,0,0,0.414912,0
0.068302,0.171526,0,0,0.414912,0
0.07932,0.209461,0,0,0.414912,0
0.084364,0.254389,0,0,0.414912,0
0.084364,0.328176,0,0,0.414912,0
0.084364,0.394674,0,0,0.414912,0
0.102978,0.431866,0,0,0.414912,0
0.119731,0.468164,0,0,0.414912,1
0.119731,0.468164,0,0,0.414912,1
0.119731,0.453288,0,0,0.414912,1
0.117029,0.435733,0,0,0.414912,1
0.084544,0.420857,0,0,0.414912,0
0.084364,0.405088,0,0,0.414912,0
0.084364,0.395716,0,0,0.414912,0
0.07932,0.379649,0,0,0.414912,0
0.07932,0.368045,0,0,0.414912,0
0.07932,0.355995,0,0,0.414912,0
0.07932,0.347813,0,0,0.414912,0
0.07932,0.336805,0,0,0.414912,0
0.07932,0.338292,0,0,0.414912,0
0.084364,0.344689,0,0,0.414912,0
0.085895,0.356442,0,0,0.414912,0
0.085895,0.405385,0,0,0.414912,0
0.07932,0.467272,0,0,0.414912,0
0.102258,0.536745,0,0,0.414912,1
0.108262,0.53734,0,0,0.414912,1
0.099045,0.507587,0,0,0.414912,1
0.099045,0.462362,0,0,0.414912,1
0.099045,0.424278,0,0,0.414912,1
0.084364,0.400922,0,0,0.414912,1
0.07932,0.378756,0,0,0.414912,0
0.076168,0.347367,0,0,0.414912,0
0.076168,0.316275,0,0,0.414912,0
0.07932,0.35302,0,0,0.414912,0
0.076168,0.365665,0,0,0.414912,0
0.068302,0.381137,0,0,0.414912,0
0.045214,0.349003,0,0,0.414912,0
0.044224,0.335019,0,0,0.414912,0
0.045214,0.290539,0,0,0.414912,0
0.044104,0.264207,0,0,0.414912,0
0.044104,0.211693,0,0,0.414912,0
0.044104,0.171378,0,0,0.414912,0
0.044104,0.1385,0,0,0.414912,0
0.044104,0.112764,0,0,0.414912,0
0.044104,0.090598,0,0,0.414912,0
0.06518,0.081077,0,0,0.414912,0
0.06518,0.073639,0,0,0.414912,0
0.067311,0.081523,0,0,0.414912,0
0.067311,0.089259,0,0,0.414912,0
0.067311,0.112318,0,0,0.414912,0
0.067311,0.131657,0,0,0.414912,0
0.068302,0.15427,0,0,0.414912,0
0.080731,0.207825,0,0,0.414912,1
0.080731,0.268224,0,0,0.414912,1
0.084064,0.315977,0,0,0.414912,1
0.084064,0.365814,0,0,0.414912,1
0.080731,0.387385,0,0,0.414912,1
0.083824,0.385748,0,0,0.414912,1
0.085895,0.370277,0,0,0.414912,1
0.085895,0.354061,0,0,0.414912,1
0.084064,0.33859,0,0,0.414912,1
0.084064,0.327135,0,0,0.414912,1
0.084064,0.311812,0,0,0.414912,1
0.080731,0.292621,0,0,0.414912,1
0.080731,0.275513,0,0,0.414912,1
0.080731,0.261976,0,0,0.414912,1
0.080731,0.249926,0,0,0.414912,1
0.080731,0.259149,0,0,0.414912,1
0.080731,0.26986,0,0,0.414912,1
0.080731,0.292621,0,0,0.414912,1
0.071664,0.349301,0,0,0.414912,0
0.108262,0.418328,0,0,0.414912,1
0.084064,0.491223,0,0,0.414912,1
0.080731,0.505951,0,0,0.414912,1
0.07932,0.478578,0,0,0.414912,1
0.045214,0.461024,0,0,0.414912,0
0.045214,0.431419,0,0,0.414912,0
0.068302,0.407022,0,0,0.414912,0
0.045214,0.389021,0,0,0.414912,0
0.045214,0.352574,0,0,0.414912,0
0.068302,0.313448,0,0,0.414912,0
0.068302,0.340821,0,0,0.414912,0
0.07932,0.352871,0,0,0.414912,1
0.068302,0.35778,0,0,0.414912,0
0.044224,0.328622,0,0,0.414912,0
0.044104,0.322821,0,0,0.414912,0
0.043983,0.287712,0,0,0.414912,0
0.043983,0.264058,0,0,0.414912,0
0.043983,0.225082,0,0,0.414912,0
0.043833,0.184915,0,0,0.414912,0
0.043833,0.153079,0,0,0.414912,0
0.043833,0.136715,0,0,0.414912,0
0.044104,0.119905,0,0,0.414912,0
0.043833,0.12288,0,0,0.414912,0
0.045515,0.126599,0,0,0.414912,0
0.045515,0.15784,0,0,0.414912,0
0.081122,0.207528,0,0,0.414912,1
0.088507,0.301993,0,0,0.414912,1
0.119731,0.407766,0,0,0.414912,1
0.045214,0.433204,0,0,0.414912,0
0.045515,0.496876,0,0,0.414912,0
0.119731,0.5241,0,0,0.414912,1
0.13105,0.523505,0,0,0.414912,1
0.137294,0.558762,0,0,0.414912,1
0.138675,0.572449,0,0,0.414912,1
0.162093,0.558465,0,0,0.414912,1
0.162093,0.533175,0,0,0.414912,1
0.162093,0.524249,0,0,0.414912,1
0.119731,0.517554,0,0,0.414912,1
0.119731,0.505802,0,0,0.414912,1
0.119731,0.494644,0,0,0.414912,1
0.119731,0.49762,0,0,0.414912,1
0.119731,0.487801,0,0,0.414912,1
0.094272,0.475454,0,0,0.414912,1
0.094272,0.46504,0,0,0.414912,1
0.119731,0.461619,0,0,0.414912,1
0.119731,0.469206,0,0,0.414912,1
